object_id,ra,dec,flux_y_sersic,flux_j_sersic,flux_h_sersic,spe_class,spe_qso_prob,spe_z
-530067844278333937,53.00678448810127,-27.83339370303285,0.92020696,2.8376868,4.741232,qso,1,4.3887324
-535719753278241398,53.57197534740633,-27.82413986566697,678.6673,934.6406,1289.1422,qso,1,4.3191323
-534586877279706828,53.4586877742999,-27.97068286001468,126.92606,139.05714,146.56421,qso,1,7.1523824
-533636922277833071,53.36369220639909,-27.7833071924763,91.587425,104.45658,118.52043,qso,1,6.525597
-533618468278418975,53.36184683207742,-27.84189751277632,59.551647,66.6639,66.83521,qso,1,5.864136
-533085160281728230,53.30851606060472,-28.1728230159456,22.882454,25.814596,21.921652,qso,1,1.6151205
-532902031278714518,53.29020314555189,-27.87145186408951,27.595528,26.071646,21.809738,qso,1,7.1442337
-532796131277777090,53.27961319133836,-27.7777090733468,412.23465,528.6699,671.46826,qso,1,6.817073
-533152731282438302,53.3152731635853,-28.24383029485754,7.124048,10.697508,14.940569,qso,1,1.7602195
-533158717282373378,53.31587174704872,-28.23733788741321,22.201889,26.693388,30.32602,qso,1,6.303182
-533901451282344454,53.39014516857884,-28.2344454271448,25.857693,32.927307,41.499386,qso,1,4.558399
-533125479282335128,53.31254796874821,-28.2335128726472,5.1470385,6.411055,7.40046,qso,1,6.3251247
-535745354282235016,53.5745354959172,-28.22350163226215,55.407303,66.09773,67.877014,qso,1,5.802636
-535360564282235361,53.53605649820069,-28.22353617451859,3.5384798,4.1460023,4.866948,qso,1,4.2242446
-533668233282261434,53.3668233803011,-28.22614342886556,23.919071,34.188263,47.114594,qso,1,5.9539523
-533658964282299140,53.36589643135881,-28.22991409544409,18.748251,25.458317,27.166111,qso,1,5.8230743
-533293838282254279,53.32938386115199,-28.22542795523216,4.0048923,6.195275,8.986517,qso,1,4.497592
-535298540282199046,53.52985404523387,-28.21990466108791,88.71354,115.30142,140.70023,qso,1,3.1591477
-536388290282141815,53.63882907758594,-28.21418156596791,30.54709,33.287434,36.82711,qso,1,0.90848583
-535559555282141502,53.55595557752697,-28.21415026139766,32.88577,38.24334,45.477585,qso,1,6.2594943
-535428327282037665,53.54283279538221,-28.20376655183583,50.185654,57.306244,64.60446,qso,1,5.8230743
-535937625281914641,53.59376255626966,-28.19146418398973,4.1126375,6.1147823,8.050832,qso,1,5.6946597
-535469971281911899,53.54699715611657,-28.19118995270714,16.188805,18.767262,23.106598,qso,1,7.4935765
-535140637281895000,53.5140637631562,-28.18950007014754,22.21686,31.937794,44.172215,qso,1,5.8916473
